Country,Births,Deaths
Algeria,4,26
Angola,165,96
Benin,114,68
Botswana,51,20
Burkina Faso,130,82
Burundi,65,86
Cameroon,127,79
Cape Verde,92,18
Central African Republic,133,108
Chad,193,97
Comoros,95,59
Congo,132,64
Djibouti,27,72
Egypt,50,18
Equatorial Guinea,128,80
Ethiopia,79,52
Gambia,104,58
Ghana,70,52
Guinea,153,79
Guinea-Bissau,137,98
Kenya,106,48
Lesotho,92,63
Liberia,177,58
Libya,4,13
Madagascar,147,43
Malawi,157,53
Mali,190,98
Mauritania,88,76
Mauritius,31,13
Morocco,18,28
Mozambique,193,72
Namibia,74,30
Niger,199,66
Nigeria,123,78
Rwanda,41,38
Senegal,93,47
Seychelles,62,12
Sierra Leone,98,119
Somalia,123,108
South Africa,54,35
Uganda,159,58
Zambia,151,53
Zimbabwe,115,43
